# File written from OrientationAnalysis Version 6.5.163.1998a502a
# DateTime: ?? 8? 30 14:53:11 2022
# X_STEP: 0.333000
# Y_STEP: 0.333000
# Z_STEP: 0.000000
#
# X_MIN: 0.000000
# Y_MIN: 0.000000
# Z_MIN: 0.000000
#
# X_MAX: 48.951000
# Y_MAX: 48.951000
# Z_MAX: 0.000000
#
# X_DIM: 147
# Y_DIM: 147
# Z_DIM: 0
#
# Phase_1: 
# Symmetry_1: 62
# Features_1: 87
#
# Num_Features: 87 
#
# phi1 PHI phi2 x y z FeatureId PhaseId Symmetry Rho
5.436369 0.826060 0.287140 22.477501 0.166500 0.00 52 1 62 49187672661318.41
5.436839 0.826390 0.287450 22.810501 0.166500 0.00 52 1 62 49187672661318.41
5.437169 0.826900 0.286730 23.143501 0.166500 0.00 52 1 62 49187672661318.41
5.437129 0.827080 0.286570 23.476500 0.166500 0.00 52 1 62 49187672661318.41
5.436749 0.826070 0.286570 23.809500 0.166500 0.00 52 1 62 49187672661318.41
5.436419 0.825570 0.287760 24.142500 0.166500 0.00 52 1 62 49187672661318.41
5.436019 0.825380 0.287610 24.475500 0.166500 0.00 52 1 62 49187672661318.41
5.435269 0.825370 0.286210 24.808500 0.166500 0.00 52 1 62 49187672661318.41
5.435329 0.825480 0.287910 25.141500 0.166500 0.00 52 1 62 49187672661318.41
5.436589 0.825780 0.288180 25.474501 0.166500 0.00 52 1 62 49187672661318.41
5.435719 0.825870 0.288290 25.807501 0.166500 0.00 52 1 62 49187672661318.41
5.436489 0.825690 0.288250 26.140501 0.166500 0.00 52 1 62 49187672661318.41
5.436119 0.825720 0.288040 26.473501 0.166500 0.00 52 1 62 49187672661318.41
5.434859 0.826730 0.286910 26.806499 0.166500 0.00 52 1 62 49187672661318.41
5.435799 0.825640 0.289170 27.139500 0.166500 0.00 52 1 62 49187672661318.41
5.436639 0.825600 0.288850 27.472500 0.166500 0.00 52 1 62 49187672661318.41
1.356954 1.692580 0.305640 27.805500 0.166500 0.00 2 1 62 76545228350781.75
1.355494 1.690070 0.305030 28.138500 0.166500 0.00 2 1 62 76545228350781.75
1.355594 1.690740 0.305600 28.471500 0.166500 0.00 2 1 62 76545228350781.75
1.356234 1.690730 0.305440 28.804501 0.166500 0.00 2 1 62 76545228350781.75
1.355624 1.690030 0.305780 29.137501 0.166500 0.00 2 1 62 76545228350781.75
1.355494 1.690070 0.305030 29.470501 0.166500 0.00 2 1 62 76545228350781.75
1.355784 1.689790 0.305230 29.803501 0.166500 0.00 2 1 62 76545228350781.75
1.355494 1.690070 0.305030 30.136501 0.166500 0.00 2 1 62 76545228350781.75
1.355524 1.689820 0.304970 30.469500 0.166500 0.00 2 1 62 76545228350781.75
1.355514 1.689890 0.304910 30.802500 0.166500 0.00 2 1 62 76545228350781.75
1.355614 1.689570 0.304630 31.135500 0.166500 0.00 2 1 62 76545228350781.75
1.355424 1.689570 0.305200 31.468500 0.166500 0.00 2 1 62 76545228350781.75
1.355684 1.689420 0.304550 31.801500 0.166500 0.00 2 1 62 76545228350781.75
1.355894 1.689520 0.304090 32.134499 0.166500 0.00 2 1 62 76545228350781.75
1.355494 1.690070 0.305030 32.467499 0.166500 0.00 2 1 62 76545228350781.75
1.355454 1.690090 0.305090 32.800499 0.166500 0.00 2 1 62 76545228350781.75
1.355384 1.690140 0.305220 33.133499 0.166500 0.00 2 1 62 76545228350781.75
1.355514 1.690590 0.305490 33.466499 0.166500 0.00 2 1 62 76545228350781.75
1.355424 1.692700 0.305580 33.799500 0.166500 0.00 2 1 62 76545228350781.75
1.355774 1.690600 0.305100 34.132500 0.166500 0.00 2 1 62 76545228350781.75
5.498079 0.977410 0.807990 34.465500 0.166500 0.00 3 1 62 47238002163010.78
5.497699 0.978210 0.807340 34.798500 0.166500 0.00 3 1 62 47238002163010.78
5.497699 0.978210 0.807340 35.131500 0.166500 0.00 3 1 62 47238002163010.78
5.497979 0.977020 0.807440 35.464500 0.166500 0.00 3 1 62 47238002163010.78
5.498179 0.977920 0.807260 35.797501 0.166500 0.00 3 1 62 47238002163010.78
5.497989 0.978430 0.807290 36.130501 0.166500 0.00 3 1 62 47238002163010.78
5.497699 0.978210 0.807340 36.463501 0.166500 0.00 3 1 62 47238002163010.78
5.497809 0.978420 0.807220 36.796501 0.166500 0.00 3 1 62 47238002163010.78
5.497759 0.978520 0.806960 37.129501 0.166500 0.00 3 1 62 47238002163010.78
5.497839 0.978580 0.806960 37.462502 0.166500 0.00 3 1 62 47238002163010.78
5.498189 0.978970 0.806750 37.795502 0.166500 0.00 3 1 62 47238002163010.78
5.497569 0.978530 0.806900 38.128502 0.166500 0.00 3 1 62 47238002163010.78
5.497429 0.977510 0.806900 38.461502 0.166500 0.00 3 1 62 47238002163010.78
5.497089 0.977390 0.806690 38.794502 0.166500 0.00 3 1 62 47238002163010.78
5.497699 0.978210 0.807340 39.127502 0.166500 0.00 3 1 62 47238002163010.78
5.496959 0.978190 0.805790 39.460499 0.166500 0.00 3 1 62 47238002163010.78
5.497699 0.978210 0.807340 39.793499 0.166500 0.00 3 1 62 47238002163010.78
5.497699 0.978210 0.807340 40.126499 0.166500 0.00 3 1 62 47238002163010.78
5.497699 0.978210 0.807340 40.459499 0.166500 0.00 3 1 62 47238002163010.78
5.497629 0.977750 0.806580 40.792500 0.166500 0.00 3 1 62 47238002163010.78
5.497699 0.977900 0.806750 41.125500 0.166500 0.00 3 1 62 47238002163010.78
5.497819 0.977470 0.806820 41.458500 0.166500 0.00 3 1 62 47238002163010.78
5.497499 0.978260 0.807340 41.791500 0.166500 0.00 3 1 62 47238002163010.78
5.497219 0.978420 0.807980 42.124500 0.166500 0.00 3 1 62 47238002163010.78
5.497699 0.978210 0.807340 42.457500 0.166500 0.00 3 1 62 47238002163010.78
5.497469 0.978060 0.808490 42.790501 0.166500 0.00 3 1 62 47238002163010.78
5.497289 0.978080 0.808070 43.123501 0.166500 0.00 3 1 62 47238002163010.78
5.497439 0.978420 0.808390 43.456501 0.166500 0.00 3 1 62 47238002163010.78
5.497949 0.977930 0.807880 43.789501 0.166500 0.00 3 1 62 47238002163010.78
5.497859 0.977950 0.807500 44.122501 0.166500 0.00 3 1 62 47238002163010.78
5.498349 0.977180 0.807480 44.455502 0.166500 0.00 3 1 62 47238002163010.78
5.497699 0.978210 0.807340 44.788502 0.166500 0.00 3 1 62 47238002163010.78
5.498209 0.977390 0.807150 45.121502 0.166500 0.00 3 1 62 47238002163010.78
5.497699 0.978210 0.807340 45.454502 0.166500 0.00 3 1 62 47238002163010.78
5.497749 0.978170 0.806830 45.787502 0.166500 0.00 3 1 62 47238002163010.78
5.498339 0.978230 0.805980 46.120502 0.166500 0.00 3 1 62 47238002163010.78
5.497679 0.977950 0.807060 46.453499 0.166500 0.00 3 1 62 47238002163010.78
5.496839 0.978340 0.807330 46.786499 0.166500 0.00 3 1 62 47238002163010.78
5.497519 0.978390 0.807420 47.119499 0.166500 0.00 3 1 62 47238002163010.78
5.497699 0.978210 0.807340 47.452499 0.166500 0.00 3 1 62 47238002163010.78
5.497729 0.978750 0.807130 47.785500 0.166500 0.00 3 1 62 47238002163010.78
5.497699 0.978210 0.807340 48.118500 0.166500 0.00 3 1 62 47238002163010.78
5.497699 0.978210 0.807340 48.451500 0.166500 0.00 3 1 62 47238002163010.78
5.497699 0.978210 0.807340 48.784500 0.166500 0.00 3 1 62 47238002163010.78
1.316004 1.591440 0.069220 0.166500 0.499500 0.00 16 1 62 43795505007580.77
1.314554 1.591100 0.068120 0.499500 0.499500 0.00 16 1 62 43795505007580.77
1.316004 1.591440 0.069220 0.832500 0.499500 0.00 16 1 62 43795505007580.77
1.314954 1.591140 0.069240 1.165500 0.499500 0.00 16 1 62 43795505007580.77
1.314644 1.590860 0.069880 1.498500 0.499500 0.00 16 1 62 43795505007580.77
1.315894 1.591160 0.069400 1.831500 0.499500 0.00 16 1 62 43795505007580.77
1.316004 1.591440 0.069220 2.164500 0.499500 0.00 16 1 62 43795505007580.77
1.316004 1.591440 0.069220 2.497500 0.499500 0.00 16 1 62 43795505007580.77
1.316394 1.591430 0.070560 2.830500 0.499500 0.00 16 1 62 43795505007580.77
1.315764 1.591360 0.070680 3.163500 0.499500 0.00 16 1 62 43795505007580.77
1.316184 1.591300 0.070310 3.496500 0.499500 0.00 16 1 62 43795505007580.77
1.316004 1.591440 0.069220 3.829500 0.499500 0.00 16 1 62 43795505007580.77
1.315144 1.591130 0.069760 4.162500 0.499500 0.00 16 1 62 43795505007580.77
1.314024 1.591240 0.070020 4.495500 0.499500 0.00 16 1 62 43795505007580.77
1.334464 1.574250 0.131150 4.828500 0.499500 0.00 37 1 62 85754643092147.03
1.334444 1.574320 0.131160 5.161500 0.499500 0.00 37 1 62 85754643092147.03
1.334434 1.574110 0.130510 5.494500 0.499500 0.00 37 1 62 85754643092147.03
1.334424 1.573960 0.129900 5.827500 0.499500 0.00 37 1 62 85754643092147.03
1.334344 1.574090 0.130010 6.160500 0.499500 0.00 37 1 62 85754643092147.03
1.334284 1.574070 0.130310 6.493500 0.499500 0.00 37 1 62 85754643092147.03
5.542929 1.186440 0.855670 6.826500 0.499500 0.00 53 1 62 59704964354047.29
5.542929 1.186440 0.855670 7.159500 0.499500 0.00 53 1 62 59704964354047.29
5.544159 1.187740 0.857240 7.492500 0.499500 0.00 53 1 62 59704964354047.29
5.544159 1.187740 0.857240 7.825500 0.499500 0.00 53 1 62 59704964354047.29
5.544159 1.187740 0.857240 8.158500 0.499500 0.00 53 1 62 59704964354047.29
5.543139 1.187810 0.857880 8.491500 0.499500 0.00 53 1 62 59704964354047.29
5.543139 1.187810 0.857880 8.824500 0.499500 0.00 53 1 62 59704964354047.29
5.543139 1.187810 0.857880 9.157500 0.499500 0.00 53 1 62 59704964354047.29
5.543139 1.187810 0.857880 9.490500 0.499500 0.00 53 1 62 59704964354047.29
5.543339 1.188220 0.857360 9.823501 0.499500 0.00 53 1 62 59704964354047.29
5.542809 1.188160 0.857450 10.156500 0.499500 0.00 53 1 62 59704964354047.29
5.543139 1.187810 0.857880 10.489500 0.499500 0.00 53 1 62 59704964354047.29
5.542339 1.188420 0.855340 10.822500 0.499500 0.00 53 1 62 59704964354047.29
5.543189 1.187330 0.855280 11.155500 0.499500 0.00 53 1 62 59704964354047.29
5.543039 1.187970 0.857690 11.488501 0.499500 0.00 53 1 62 59704964354047.29
5.543139 1.187810 0.857880 11.821500 0.499500 0.00 53 1 62 59704964354047.29
5.542719 1.188490 0.856740 12.154500 0.499500 0.00 53 1 62 59704964354047.29
5.543099 1.188550 0.856750 12.487500 0.499500 0.00 53 1 62 59704964354047.29
5.543509 1.188050 0.857230 12.820500 0.499500 0.00 53 1 62 59704964354047.29
5.544039 1.187690 0.857010 13.153501 0.499500 0.00 53 1 62 59704964354047.29
5.543919 1.187300 0.856450 13.486500 0.499500 0.00 53 1 62 59704964354047.29
5.543529 1.186510 0.856450 13.819500 0.499500 0.00 53 1 62 59704964354047.29
5.543139 1.187810 0.857880 14.152500 0.499500 0.00 53 1 62 59704964354047.29
5.543139 1.187810 0.857880 14.485500 0.499500 0.00 53 1 62 59704964354047.29
5.543199 1.187300 0.857680 14.818501 0.499500 0.00 53 1 62 59704964354047.29
5.543639 1.187250 0.857630 15.151501 0.499500 0.00 53 1 62 59704964354047.29
5.543139 1.187810 0.857880 15.484500 0.499500 0.00 53 1 62 59704964354047.29
5.543149 1.187970 0.857710 15.817500 0.499500 0.00 53 1 62 59704964354047.29
5.543099 1.188170 0.857570 16.150499 0.499500 0.00 53 1 62 59704964354047.29
5.543339 1.188350 0.857390 16.483500 0.499500 0.00 53 1 62 59704964354047.29
5.543349 1.187840 0.857770 16.816500 0.499500 0.00 53 1 62 59704964354047.29
5.543139 1.187810 0.857880 17.149500 0.499500 0.00 53 1 62 59704964354047.29
5.544039 1.187410 0.858060 17.482500 0.499500 0.00 53 1 62 59704964354047.29
5.543689 1.188280 0.858300 17.815500 0.499500 0.00 53 1 62 59704964354047.29
5.543579 1.186890 0.857280 18.148500 0.499500 0.00 53 1 62 59704964354047.29
5.543269 1.188640 0.862380 18.481501 0.499500 0.00 53 1 62 59704964354047.29
5.543269 1.188640 0.862380 18.814501 0.499500 0.00 53 1 62 59704964354047.29
5.435329 0.829650 0.288600 19.147501 0.499500 0.00 52 1 62 49187672661318.41
5.435869 0.828590 0.288750 19.480501 0.499500 0.00 52 1 62 49187672661318.41
5.436639 0.825600 0.288850 19.813499 0.499500 0.00 52 1 62 49187672661318.41
5.436959 0.827890 0.288140 20.146500 0.499500 0.00 52 1 62 49187672661318.41
5.436979 0.827400 0.289120 20.479500 0.499500 0.00 52 1 62 49187672661318.41
5.436069 0.825950 0.288770 20.812500 0.499500 0.00 52 1 62 49187672661318.41
5.436249 0.825340 0.289900 21.145500 0.499500 0.00 52 1 62 49187672661318.41
5.436639 0.825600 0.288850 21.478500 0.499500 0.00 52 1 62 49187672661318.41
5.436639 0.825600 0.288850 21.811501 0.499500 0.00 52 1 62 49187672661318.41
5.436779 0.826020 0.288310 22.144501 0.499500 0.00 52 1 62 49187672661318.41
5.436599 0.826890 0.286610 22.477501 0.499500 0.00 52 1 62 49187672661318.41
5.436839 0.826390 0.287450 22.810501 0.499500 0.00 52 1 62 49187672661318.41
5.437169 0.826900 0.286730 23.143501 0.499500 0.00 52 1 62 49187672661318.41
5.436949 0.826440 0.286430 23.476500 0.499500 0.00 52 1 62 49187672661318.41
5.436559 0.825710 0.288120 23.809500 0.499500 0.00 52 1 62 49187672661318.41
5.436639 0.825600 0.288850 24.142500 0.499500 0.00 52 1 62 49187672661318.41
5.436019 0.825380 0.287610 24.475500 0.499500 0.00 52 1 62 49187672661318.41
5.435269 0.825370 0.286210 24.808500 0.499500 0.00 52 1 62 49187672661318.41
5.437469 0.826290 0.286640 25.141500 0.499500 0.00 52 1 62 49187672661318.41
5.436669 0.825760 0.288290 25.474501 0.499500 0.00 52 1 62 49187672661318.41
5.437309 0.825790 0.286820 25.807501 0.499500 0.00 52 1 62 49187672661318.41
5.437789 0.824930 0.287370 26.140501 0.499500 0.00 52 1 62 49187672661318.41
5.436119 0.825720 0.288040 26.473501 0.499500 0.00 52 1 62 49187672661318.41
5.435079 0.825550 0.289330 26.806499 0.499500 0.00 52 1 62 49187672661318.41
5.436639 0.825600 0.288850 27.139500 0.499500 0.00 52 1 62 49187672661318.41
5.436639 0.825600 0.288850 27.472500 0.499500 0.00 52 1 62 49187672661318.41
5.436639 0.825600 0.288850 27.805500 0.499500 0.00 52 1 62 49187672661318.41
5.436639 0.825600 0.288850 28.138500 0.499500 0.00 52 1 62 49187672661318.41
1.355594 1.690740 0.305600 28.471500 0.499500 0.00 2 1 62 76545228350781.75
1.355984 1.690600 0.305790 28.804501 0.499500 0.00 2 1 62 76545228350781.75
1.354934 1.690660 0.306880 29.137501 0.499500 0.00 2 1 62 76545228350781.75
1.355464 1.690130 0.305270 29.470501 0.499500 0.00 2 1 62 76545228350781.75
1.355784 1.689790 0.305230 29.803501 0.499500 0.00 2 1 62 76545228350781.75
1.355494 1.690070 0.305030 30.136501 0.499500 0.00 2 1 62 76545228350781.75
1.355724 1.689600 0.304760 30.469500 0.499500 0.00 2 1 62 76545228350781.75
1.355534 1.689910 0.304900 30.802500 0.499500 0.00 2 1 62 76545228350781.75
1.355614 1.689570 0.304630 31.135500 0.499500 0.00 2 1 62 76545228350781.75
1.355664 1.689870 0.304680 31.468500 0.499500 0.00 2 1 62 76545228350781.75
1.355684 1.689420 0.304550 31.801500 0.499500 0.00 2 1 62 76545228350781.75
1.355654 1.689900 0.304670 32.134499 0.499500 0.00 2 1 62 76545228350781.75
1.355494 1.690070 0.305030 32.467499 0.499500 0.00 2 1 62 76545228350781.75
1.355524 1.690050 0.305000 32.800499 0.499500 0.00 2 1 62 76545228350781.75
1.355384 1.690140 0.305220 33.133499 0.499500 0.00 2 1 62 76545228350781.75
1.355514 1.690590 0.305490 33.466499 0.499500 0.00 2 1 62 76545228350781.75
1.355664 1.693130 0.306210 33.799500 0.499500 0.00 2 1 62 76545228350781.75
1.355494 1.690070 0.305030 34.132500 0.499500 0.00 2 1 62 76545228350781.75
1.355804 1.690640 0.304980 34.465500 0.499500 0.00 2 1 62 76545228350781.75
1.355494 1.690070 0.305030 34.798500 0.499500 0.00 2 1 62 76545228350781.75
5.497979 0.977020 0.807440 35.131500 0.499500 0.00 3 1 62 47238002163010.78
5.498179 0.977920 0.807260 35.464500 0.499500 0.00 3 1 62 47238002163010.78
5.498829 0.977020 0.807450 35.797501 0.499500 0.00 3 1 62 47238002163010.78
5.497989 0.978430 0.807290 36.130501 0.499500 0.00 3 1 62 47238002163010.78
5.497699 0.978210 0.807340 36.463501 0.499500 0.00 3 1 62 47238002163010.78
5.497839 0.978450 0.807180 36.796501 0.499500 0.00 3 1 62 47238002163010.78
5.497759 0.978520 0.806960 37.129501 0.499500 0.00 3 1 62 47238002163010.78
