# File written from OrientationAnalysis Version 6.5.163.1998a502a
# DateTime: ?? 9? 6 11:14:22 2022
# X_STEP: 0.504000
# Y_STEP: 0.503000
# Z_STEP: 0.000000
#
# X_MIN: 0.000000
# Y_MIN: 0.000000
# Z_MIN: 0.000000
#
# X_MAX: 99.792000
# Y_MAX: 100.600006
# Z_MAX: 0.000000
#
# X_DIM: 198
# Y_DIM: 200
# Z_DIM: 0
#
# Phase_1: 
# Symmetry_1: 62
# Features_1: 62
#
# Num_Features: 62 
#
# phi1 PHI phi2 x y z FeatureId PhaseId Symmetry Rho
1.83701 1.756 3.63314 36.035999 0.2515 0 8 1 62 1.086103e+14
1.83338 1.75738 3.62993 36.540001 0.2515 0 8 1 62 9.406575e+13
1.83 1.75843 3.6272 37.043999 0.2515 0 8 1 62 1.362248e+14
1.82671 1.76005 3.62349 37.548 0.2515 0 8 1 62 1.299746e+14
1.82493 1.7617 3.6204 38.051998 0.2515 0 8 1 62 1.943077e+14
1.82518 1.76295 3.61888 38.556 0.2515 0 8 1 62 2.078247e+14
1.82609 1.76415 3.61895 39.060001 0.2515 0 8 1 62 2.302448e+14
1.82748 1.76473 3.62021 39.563999 0.2515 0 8 1 62 2.534288e+14
1.82904 1.76418 3.62175 40.068001 0.2515 0 8 1 62 2.048332e+14
1.82981 1.76374 3.62351 40.571999 0.2515 0 8 1 62 1.703511e+14
1.8296 1.76359 3.62469 41.076 0.2515 0 8 1 62 2.085548e+14
1.82771 1.76455 3.62357 41.579998 0.2515 0 8 1 62 1.965054e+14
1.82536 1.76599 3.62175 42.084 0.2515 0 8 1 62 1.403045e+14
1.82337 1.7674 3.62009 42.588001 0.2515 0 8 1 62 1.639168e+14
1.81988 1.7693 3.61847 43.091999 0.2515 0 8 1 62 1.204532e+14
1.81592 1.77144 3.61775 43.596001 0.2515 0 8 1 62 1.052541e+14
1.81265 1.77346 3.61855 44.099998 0.2515 0 8 1 62 1.773874e+14
1.8101 1.77634 3.62159 44.604 0.2515 0 8 1 62 1.965768e+14
1.80914 1.77895 3.62618 45.107998 0.2515 0 8 1 62 2.065784e+14
1.81002 1.77905 3.63042 45.612 0.2515 0 8 1 62 1.932979e+14
1.81241 1.77824 3.63558 46.116001 0.2515 0 8 1 62 2.056950e+14
1.81532 1.77677 3.63912 46.619999 0.2515 0 8 1 62 1.374407e+14
1.81769 1.77519 3.64263 47.124001 0.2515 0 8 1 62 1.258509e+14
1.81903 1.77418 3.6452 47.627998 0.2515 0 8 1 62 9.638435e+13
1.81907 1.77416 3.64623 48.132 0.2515 0 8 1 62 9.140358e+13
1.81862 1.77494 3.64751 48.636002 0.2515 0 8 1 62 8.250378e+13
1.81798 1.77607 3.64868 49.139999 0.2515 0 8 1 62 9.189925e+13
1.8178 1.77658 3.64939 49.644001 0.2515 0 8 1 62 8.249940e+13
1.81713 1.77709 3.64887 50.147999 0.2515 0 8 1 62 1.099191e+14
1.81629 1.77737 3.64738 50.652 0.2515 0 8 1 62 2.068214e+14
1.81438 1.77769 3.64107 51.155998 0.2515 0 8 1 62 3.037553e+14
1.81186 1.7784 3.63247 51.66 0.2515 0 8 1 62 3.936707e+14
1.81033 1.77834 3.6026 52.164001 0.2515 0 8 1 62 3.828861e+14
1.80534 1.78069 3.58728 52.667999 0.2515 0 8 1 62 4.380751e+14
1.80123 1.78308 3.57687 53.172001 0.2515 0 8 1 62 4.179492e+14
1.80022 1.78429 3.58614 53.675999 0.2515 0 8 1 62 3.233511e+14
1.79803 1.78621 3.57941 54.18 0.2515 0 8 1 62 2.532305e+14
1.79665 1.78791 3.58378 54.683998 0.2515 0 8 1 62 1.595803e+14
1.79601 1.78916 3.58218 55.188 0.2515 0 8 1 62 1.390013e+14
1.79653 1.7899 3.58433 55.692001 0.2515 0 8 1 62 1.618151e+14
1.79799 1.78998 3.5893 56.195999 0.2515 0 8 1 62 2.038439e+14
1.80011 1.78982 3.59672 56.700001 0.2515 0 8 1 62 2.573725e+14
1.80211 1.78978 3.60399 57.203999 0.2515 0 8 1 62 2.655937e+14
1.80325 1.79017 3.6085 57.708 0.2515 0 8 1 62 2.537423e+14
1.80437 1.79067 3.61399 58.211998 0.2515 0 8 1 62 2.980575e+14
1.80521 1.79114 3.61916 58.716 0.2515 0 8 1 62 3.186141e+14
1.80578 1.79131 3.62318 59.220001 0.2515 0 8 1 62 3.035749e+14
1.8065 1.79153 3.62904 59.723999 0.2515 0 8 1 62 2.829620e+14
1.80702 1.7917 3.63401 60.228001 0.2515 0 8 1 62 2.434272e+14
1.80841 1.7926 3.64033 60.731998 0.2515 0 8 1 62 2.351647e+14
1.81025 1.79387 3.64693 61.236 0.2515 0 8 1 62 2.171767e+14
1.81204 1.79507 3.65251 61.740002 0.2515 0 8 1 62 1.965293e+14
